key,the_name,country,the_rank,arwu_rank,cwur_rank,qs_rank,institution,country_code,works_count,cited_by_count,h_index,two_yr_mean_citedness,oa_rank_works,oa_rank_cites,oa_rank_hindex
aalborg,Aalborg University,Denmark,351,301,565,330,Aalborg University,DK,113329,4492124,547,3.1118965304358563,286,455,412
aalto,Aalto University,Finland,251,401,421,116,Aalto University,FI,63938,3455541,489,3.747251394814572,560,518,468
aarhus,Aarhus University,Denmark,153,73,122,161,Aarhus University,DK,223824,12705396,858,3.1490875857729304,95,169,180
aberdeen,University of Aberdeen,United Kingdom,178,201,285,220,University of Aberdeen,GB,96432,7237242,760,3.112238841405508,348,306,228
adelaide,University of Adelaide,Australia,164,151,335,109,The University of Adelaide,AU,150263,29666035,885,4.876871781719179,192,42,164
alberta,University of Alberta,Canada,124,101,107,110,University of Alberta,CA,264029,20897018,1067,3.581311757711599,66,84,98
amsterdam,University of Amsterdam,Netherlands,77,101,114,58,University of Amsterdam,NL,234691,25317861,1147,3.797055234045904,87,62,72
antwerp,University of Antwerp,Belgium,170,301,312,280,University of Antwerp,BE,94996,9248847,830,7.637258143232733,362,243,192
arizona,University of Arizona,United States of America,86,90,68,262,University of Arizona,US,258835,22716000,1262,3.791571585704201,70,73,48
arizona state,Arizona State University,United States of America,182,93,97,219,Arizona State University,US,195461,13888587,964,3.482853566958698,126,153,129
auckland,University of Auckland,New Zealand,175,201,266,87,University of Auckland,NZ,141607,9834065,764,3.3283861037818823,213,226,223
australian national,Australian National University,Australia,45,77,179,30,Australian National University,AU,191777,14387444,1057,4.158179520984399,131,146,100
basel,University of Basel,Switzerland,75,87,160,136,University of Basel,CH,109273,10507739,866,3.8984804078516366,297,210,170
bath,University of Bath,United Kingdom,301,401,405,179,University of Bath,GB,75203,4484892,610,3.345433192761437,488,459,354
bergen,University of Bergen,Norway,201,201,283,207,University of Bergen,NO,211161,9179575,759,1.7737037356569751,105,246,229
bern,University of Bern,Switzerland,132,151,200,120,University of Bern,CH,153367,14134790,908,3.4823704153796817,183,148,155
bielefeld,Bielefeld University,Germany,351,401,464,1001,Bielefeld University,DE,63832,3199655,488,1.7788379450610154,562,534,470
birmingham,University of Birmingham,United Kingdom,148,101,152,91,University of Birmingham,GB,216649,22580760,1174,4.652253855278766,102,76,67
boston,Boston University,United States of America,57,73,66,108,Boston University,US,198356,24541335,1349,3.975854542619948,118,66,40
bristol,University of Bristol,United Kingdom,74,66,123,61,University of Bristol,GB,213963,21448942,1172,3.154081066074403,103,80,68
british columbia,University of British Columbia,Canada,32,40,62,47,University of British Columbia,CA,373460,32132870,1328,3.040709653110144,24,33,42
brown,Brown University,United States of America,54,75,83,63,Brown University,US,137809,14484073,1001,3.765289381357429,222,142,114
calgary,University of Calgary,Canada,226,201,167,242,University of Calgary,CA,197164,14402133,916,3.584045584045584,121,145,147
california berkeley,"University of California, Berkeley",United States of America,8,4,7,27,"University of California, Berkeley",US,448158,55796313,1862,3.751129104813316,12,11,9
california davis,"University of California, Davis",United States of America,55,57,53,102,"University of California, Davis",US,298751,29432124,1208,3.202979265919613,47,43,60
california institute technology,California Institute of Technology,United States of America,1,7,12,6,California Institute of Technology,US,242783,36061372,1842,7.913493975903615,82,27,12
california irvine,"University of California, Irvine",United States of America,88,50,89,235,"University of California, Irvine",US,191757,20069354,1126,3.8065533668082914,132,92,77
california los angeles,"University of California, Los Angeles",United States of America,12,12,15,44,"University of California, Los Angeles",US,413583,51486493,1633,4.104183764658679,14,15,21
california riverside,"University of California, Riverside",United States of America,150,101,214,453,"University of California, Riverside",US,103796,10610460,850,3.675814819215081,319,207,186
california san diego,"University of California, San Diego",United States of America,41,14,21,53,University of California San Diego,US,354205,50272476,1735,3.883862760776332,32,16,17
california santa barbara,"University of California, Santa Barbara",United States of America,37,38,64,149,"University of California, Santa Barbara",US,139636,17821828,1118,4.511527878807047,218,113,79
california santa cruz,"University of California, Santa Cruz",United States of America,109,93,154,375,"University of California, Santa Cruz",US,76115,11973747,1091,5.475376884422111,476,184,89
cambridge,University of Cambridge,United Kingdom,5,5,4,2,University of Cambridge,GB,446160,53221624,1815,5.996957008205059,13,13,13
cape town,University of Cape Town,South Africa,124,201,248,237,University of Cape Town,ZA,323502,7480446,697,0.7964413557595819,41,300,281
cardiff,Cardiff University,United Kingdom,201,151,201,166,Cardiff University,GB,126026,13154983,1216,4.156762295081967,248,161,58
carleton,Carleton University,Canada,226,401,593,601,Carleton University,CA,77464,4484907,534,3.059292119824461,471,458,422
carnegie mellon,Carnegie Mellon University,United States of America,24,61,61,52,Carnegie Mellon University,US,157832,16460538,1140,4.027322000492732,176,129,73
case western reserve,Case Western Reserve University,United States of America,116,101,105,176,Case Western Reserve University,US,171267,16787170,1025,3.7887838916497154,151,126,106
chalmers technology,Chalmers University of Technology,Sweden,276,301,402,125,Chalmers University of Technology,SE,90070,5592122,557,3.78487358326068,385,387,404
chicago,University of Chicago,United States of America,11,9,8,10,University of Chicago,US,306236,34273296,1622,4.126764367411165,45,30,22
chinese hong kong,Chinese University of Hong Kong,Hong Kong,129,151,220,38,Chinese University of Hong Kong,HK,196604,17453327,1098,3.1462363481293067,122,119,86
cincinnati,University of Cincinnati,United States of America,276,201,157,701,University of Cincinnati,US,129162,9887730,770,3.386813503203052,242,224,220
city hong kong,City University of Hong Kong,Hong Kong,192,201,373,54,City University of Hong Kong,HK,115685,7941499,647,8.668547439773537,279,280,324
college cork,University College Cork,Republic of Ireland,276,401,436,303,University College Cork,IE,62364,4531455,640,3.61190250079139,582,452,330
college dublin,University College Dublin,Republic of Ireland,226,301,238,181,University College Dublin,IE,105600,6831831,657,3.293783025989432,315,329,311
colorado boulder,University of Colorado Boulder,United States of America,97,34,54,317,University of Colorado Boulder,US,166323,18537776,1120,3.871898054996647,162,106,78
columbia,Columbia University,United States of America,14,8,6,22,Columbia University,US,386225,46951905,1720,4.631964281697744,18,18,18
connecticut,University of Connecticut,United States of America,301,301,218,350,University of Connecticut,US,117524,8291807,687,3.613272682966453,270,263,287
copenhagen,University of Copenhagen,Denmark,160,35,74,82,University of Copenhagen,DK,286142,26959563,1228,4.047248382644295,52,55,55
cornell,Cornell University,United States of America,19,13,10,20,Cornell University,US,471134,56177819,1847,4.849242629974955,11,10,11
curtin,Curtin University,Australia,351,201,595,193,Curtin University,AU,93886,5285449,570,3.994715168153741,369,408,391
dalhousie,Dalhousie University,Canada,226,201,286,308,Dalhousie University,CA,107381,7224758,700,3.023750443105282,310,307,278
dartmouth college,Dartmouth College,United States of America,152,201,44,205,Dartmouth College,US,88177,6967442,748,1.9578923593185336,394,318,235
deakin,Deakin University,Australia,301,301,579,266,Deakin University,AU,95183,5709094,609,4.248136565024759,358,382,357
delaware,University of Delaware,United States of America,180,151,281,581,University of Delaware,US,96224,7051065,709,3.113550340651022,351,315,269
delft technology,Delft University of Technology,Netherlands,71,201,255,61,Delft University of Technology,NL,173861,10839440,787,3.1369479965899405,149,205,210
drexel,Drexel University,United States of America,301,301,258,651,Drexel University,US,83471,5999990,759,4.220431019854064,433,367,229
duke,Duke University,United States of America,18,31,28,50,Duke University,US,268490,29687524,1405,3.473400454693082,63,41,35
dundee,University of Dundee,United Kingdom,201,201,242,354,University of Dundee,GB,62714,6547978,777,3.96716378859236,578,340,216
durham,Durham University,United Kingdom,83,201,261,92,Durham University,GB,109301,6847201,726,4.972158787230941,296,326,258
east anglia,University of East Anglia,United Kingdom,198,201,336,342,University of East Anglia,GB,72052,5368431,747,3.535327617497966,506,402,237
edinburgh,University of Edinburgh,United Kingdom,36,47,55,15,University of Edinburgh,GB,280134,25899244,1328,3.895781525523353,55,60,42
eindhoven technology,Eindhoven University of Technology,Netherlands,144,301,348,138,Eindhoven University of Technology,NL,96031,6639354,650,3.5361025826259707,353,337,317
