team,group,elo,fifa_rank,squad_value_eur_m,p_win_group,p_runner_up,p_third,p_advance_group,p_best_third,p_reach_r32,p_reach_r16,p_reach_qf,p_reach_sf,p_reach_final,p_champion,exp_group_points
Argentina,J,2220.1,1,807.5,0.9998,0.0002,0.0,1.0,0.0,1.0,0.9509,0.854,0.6811,0.4811,0.3075,8.805
Spain,H,2197.9,2,1220.0,0.8761,0.0792,0.0446,0.9554,0.0446,1.0,0.8506,0.6764,0.5913,0.4055,0.2396,6.244
France,I,2153.7,3,1520.0,0.7697,0.2303,0.0,1.0,0.0,1.0,0.8957,0.6314,0.455,0.2619,0.1421,7.832
England,L,2120.6,4,1360.0,0.9625,0.0333,0.0038,0.9958,0.0038,0.9995,0.8297,0.5776,0.3535,0.1612,0.08,8.139
Colombia,K,2082.2,13,302.35,0.727,0.2184,0.0488,0.9454,0.048,0.9934,0.8194,0.5542,0.2208,0.1113,0.0477,7.001
Brazil,C,2072.9,6,928.2,0.6132,0.2486,0.1382,0.8618,0.1382,1.0,0.6014,0.3702,0.1919,0.078,0.0328,6.136
Germany,E,2033.7,10,947.0,0.9971,0.0029,0.0,1.0,0.0,1.0,0.7091,0.2953,0.1695,0.0714,0.0246,7.624
Netherlands,F,2037.8,8,754.2,0.6361,0.3617,0.0022,0.9978,0.0022,1.0,0.5268,0.3345,0.1485,0.0598,0.0209,6.535
Portugal,K,2026.2,5,1010.0,0.2238,0.4621,0.2278,0.6859,0.1374,0.8233,0.5628,0.269,0.1259,0.0526,0.0182,4.308
Norway,I,2014.8,31,589.9,0.2303,0.7697,0.0,1.0,0.0,1.0,0.7506,0.3556,0.1642,0.0549,0.018,6.93
Morocco,C,2011.8,7,447.7,0.3541,0.6308,0.0151,0.9849,0.0151,1.0,0.4949,0.2935,0.1195,0.043,0.0137,6.499
Japan,F,2011.8,18,270.85,0.3349,0.5254,0.1397,0.8603,0.1397,1.0,0.4523,0.2554,0.1101,0.0391,0.013,6.155
Mexico,A,2003.3,14,191.85,0.943,0.057,0.0,1.0,0.0,1.0,0.6809,0.2692,0.1151,0.0329,0.0111,8.158
USA,D,1920.3,17,385.6,0.9886,0.0114,0.0,1.0,0.0,1.0,0.8018,0.4474,0.1028,0.0296,0.0064,7.482
Switzerland,B,1951.2,19,332.5,0.4581,0.5344,0.0075,0.9925,0.0075,1.0,0.6146,0.2435,0.0609,0.0193,0.0044,5.625
Croatia,L,1939.5,11,387.3,0.0221,0.6479,0.2058,0.67,0.1502,0.8202,0.3545,0.1045,0.047,0.0141,0.0031,4.106
Belgium,G,1940.1,9,547.5,0.1791,0.546,0.1486,0.7251,0.1295,0.8545,0.4685,0.1239,0.036,0.0113,0.0025,4.142
Uruguay,H,1935.8,16,359.3,0.0997,0.058,0.701,0.1577,0.2071,0.3648,0.1669,0.0761,0.0264,0.0079,0.0019,2.559
Austria,J,1905.9,24,245.2,0.0001,0.6332,0.3659,0.6333,0.325,0.9583,0.2597,0.1096,0.0332,0.0089,0.0018,4.39
South Korea,A,1888.6,25,139.05,0.057,0.7672,0.1546,0.8243,0.1379,0.9622,0.4516,0.1506,0.0339,0.0081,0.0015,5.117
Ecuador,E,1957.5,23,368.7,0.0,0.0754,0.7224,0.0754,0.2306,0.306,0.1319,0.0612,0.0178,0.0048,0.0014,2.127
Australia,D,1913.6,27,77.45,0.0099,0.6219,0.3092,0.6318,0.2744,0.9062,0.4243,0.0642,0.0236,0.0063,0.0014,4.385
Algeria,J,1889.3,28,256.9,0.0,0.3667,0.6302,0.3667,0.4868,0.8535,0.2714,0.1099,0.0256,0.0065,0.0012,4.355
Iran,G,1894.2,20,32.05,0.2799,0.1678,0.5014,0.4478,0.2513,0.6991,0.3412,0.1162,0.0227,0.0059,0.0011,3.472
Canada,B,1888.7,30,198.65,0.5419,0.4574,0.0007,0.9993,0.0007,1.0,0.5229,0.161,0.0275,0.0064,0.0011,5.125
Paraguay,D,1901.5,41,153.65,0.0015,0.3667,0.5051,0.3682,0.412,0.7802,0.3091,0.0508,0.0184,0.0047,0.001,4.36
Egypt,G,1858.2,29,116.48,0.541,0.183,0.276,0.724,0.276,1.0,0.4518,0.1512,0.0254,0.0052,0.0008,5.27
Senegal,I,1871.9,15,478.1,0.0,0.0,0.8113,0.0,0.5512,0.5512,0.1601,0.0661,0.0112,0.0023,0.0004,1.978
Scotland,C,1843.6,42,170.25,0.0327,0.1206,0.8347,0.1532,0.7111,0.8644,0.2182,0.0478,0.0107,0.0016,0.0003,3.653
Ivory Coast,E,1844.3,33,522.1,0.0029,0.8179,0.1346,0.8208,0.124,0.9447,0.2231,0.0538,0.0103,0.0014,0.0002,5.129
Turkey,D,1881.6,22,473.7,0.0,0.0,0.1858,0.0,0.1671,0.1671,0.0432,0.0102,0.0032,0.0008,0.0001,1.264
Uzbekistan,K,1806.3,50,85.33,0.0107,0.1306,0.3262,0.1413,0.244,0.3853,0.0867,0.0158,0.0039,0.0005,0.0001,2.051
Panama,L,1807.0,34,34.55,0.0044,0.0949,0.1802,0.0994,0.1366,0.2359,0.0509,0.011,0.0017,0.0003,0.0,1.39
Sweden,F,1793.1,38,406.08,0.029,0.113,0.858,0.142,0.7843,0.9263,0.099,0.022,0.0045,0.0006,0.0,3.635
DR Congo,K,1784.2,46,143.9,0.0385,0.1889,0.3973,0.2274,0.2438,0.4712,0.1138,0.0181,0.0032,0.0004,0.0,2.751
Czech Republic,A,1768.4,40,188.18,0.0,0.0429,0.6018,0.0429,0.1186,0.1614,0.0511,0.0139,0.0015,0.0003,0.0,1.633
Haiti,C,1677.7,83,55.9,0.0,0.0,0.012,0.0,0.0091,0.0091,0.0008,0.0001,0.0,0.0,0.0,0.345
South Africa,A,1666.5,60,49.25,0.0,0.1328,0.2436,0.1328,0.0203,0.1532,0.0259,0.0025,0.0001,0.0,0.0,1.668
Bosnia & Herzegovina,B,1654.9,64,146.4,0.0,0.0082,0.7154,0.0082,0.4706,0.4788,0.0672,0.013,0.0005,0.0,0.0,2.676
Qatar,B,1578.8,56,19.93,0.0,0.0,0.2763,0.0,0.2762,0.2763,0.0212,0.0026,0.0001,0.0,0.0,2.077
Cape Verde,H,1701.8,67,49.25,0.0242,0.5386,0.1997,0.5627,0.0817,0.6444,0.0238,0.0041,0.0005,0.0,0.0,3.385
Saudi Arabia,H,1706.3,61,40.68,0.0,0.3242,0.0547,0.3242,0.045,0.3692,0.011,0.0023,0.0003,0.0,0.0,2.361
New Zealand,G,1710.5,85,34.45,0.0,0.1032,0.0739,0.1032,0.0465,0.1497,0.0312,0.0014,0.0,0.0,0.0,1.65
Tunisia,F,1671.3,45,69.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315
Curaçao,E,1618.4,82,25.78,0.0,0.1038,0.1431,0.1038,0.0446,0.1484,0.008,0.0005,0.0,0.0,0.0,1.658
Iraq,I,1708.0,57,21.2,0.0,0.0,0.1887,0.0,0.0868,0.0868,0.0107,0.0023,0.0001,0.0,0.0,0.794
Jordan,J,1724.8,63,20.3,0.0,0.0,0.004,0.0,0.0035,0.0035,0.0008,0.0001,0.0,0.0,0.0,0.11
Ghana,L,1673.2,73,234.5,0.011,0.2238,0.6103,0.2349,0.4172,0.6521,0.058,0.006,0.0003,0.0,0.0,3.66
