match_id,date,group,home,away,p_home_win,p_draw,p_away_win,exp_home_goals,exp_away_goals,likely_score
45,2026-06-23,L,England,Ghana,0.883,0.1,0.017,2.55,0.19,2-0
46,2026-06-23,L,Panama,Croatia,0.2345,0.241,0.5244,1.05,1.69,1-1
47,2026-06-23,K,Portugal,Uzbekistan,0.6514,0.208,0.1406,1.96,0.78,1-0
48,2026-06-23,K,Colombia,DR Congo,0.7407,0.1741,0.0851,2.16,0.58,2-0
49,2026-06-24,C,Scotland,Brazil,0.1462,0.2107,0.6432,0.8,1.94,0-1
50,2026-06-24,C,Morocco,Haiti,0.779,0.1568,0.0642,2.26,0.48,2-0
51,2026-06-24,B,Switzerland,Canada,0.4578,0.2511,0.2911,1.55,1.19,1-1
52,2026-06-24,B,Bosnia & Herzegovina,Qatar,0.4746,0.249,0.2763,1.59,1.15,1-1
53,2026-06-24,A,Czech Republic,Mexico,0.1416,0.2085,0.6498,0.78,1.96,0-1
54,2026-06-24,A,South Africa,South Korea,0.152,0.2134,0.6346,0.82,1.92,0-1
55,2026-06-25,E,Curaçao,Ivory Coast,0.1489,0.212,0.6391,0.81,1.93,0-1
56,2026-06-25,E,Ecuador,Germany,0.294,0.2515,0.4545,1.19,1.55,1-1
57,2026-06-25,F,Japan,Sweden,0.6499,0.2085,0.1416,1.96,0.78,1-0
58,2026-06-25,F,Tunisia,Netherlands,0.0557,0.1488,0.7955,0.44,2.3,0-2
59,2026-06-25,D,Turkey,USA,0.3362,0.2551,0.4088,1.29,1.45,1-1
60,2026-06-25,D,Paraguay,Australia,0.3673,0.256,0.3767,1.36,1.38,1-1
61,2026-06-26,I,Norway,France,0.2281,0.2395,0.5325,1.03,1.71,1-1
62,2026-06-26,I,Senegal,Iraq,0.5835,0.2279,0.1886,1.82,0.92,1-0
63,2026-06-26,G,Egypt,Iran,0.3394,0.2552,0.4054,1.3,1.44,1-1
64,2026-06-26,G,New Zealand,Belgium,0.1459,0.2105,0.6436,0.8,1.94,0-1
65,2026-06-26,H,Cape Verde,Saudi Arabia,0.3764,0.256,0.3676,1.38,1.36,1-1
66,2026-06-26,H,Uruguay,Spain,0.1207,0.1974,0.6819,0.71,2.03,0-2
67,2026-06-27,L,Panama,England,0.0856,0.1745,0.74,0.58,2.16,0-2
68,2026-06-27,L,Croatia,Ghana,0.7053,0.1886,0.1061,2.08,0.66,2-0
69,2026-06-27,J,Algeria,Austria,0.362,0.2559,0.3821,1.35,1.39,1-1
70,2026-06-27,J,Jordan,Argentina,0.0085,0.0844,0.9071,0.11,2.63,0-2
71,2026-06-27,K,Colombia,Portugal,0.4497,0.252,0.2983,1.54,1.2,1-1
72,2026-06-27,K,DR Congo,Uzbekistan,0.3555,0.2558,0.3886,1.33,1.41,1-1
