match_id,date,stage,group,home,away,home_goals,away_goals,status,winner
1,2026-06-11,group,A,Mexico,South Africa,2,0,played,
2,2026-06-11,group,A,South Korea,Czech Republic,2,1,played,
3,2026-06-12,group,B,Canada,Bosnia & Herzegovina,1,1,played,
4,2026-06-12,group,D,USA,Paraguay,4,1,played,
5,2026-06-13,group,C,Haiti,Scotland,0,1,played,
6,2026-06-13,group,D,Australia,Turkey,2,0,played,
7,2026-06-13,group,C,Brazil,Morocco,1,1,played,
8,2026-06-13,group,B,Qatar,Switzerland,1,1,played,
9,2026-06-14,group,E,Ivory Coast,Ecuador,1,0,played,
10,2026-06-14,group,E,Germany,Curaçao,7,1,played,
11,2026-06-14,group,F,Netherlands,Japan,2,2,played,
12,2026-06-14,group,F,Sweden,Tunisia,5,1,played,
13,2026-06-15,group,H,Saudi Arabia,Uruguay,1,1,played,
14,2026-06-15,group,H,Spain,Cape Verde,0,0,played,
15,2026-06-15,group,G,Iran,New Zealand,2,2,played,
16,2026-06-15,group,G,Belgium,Egypt,1,1,played,
17,2026-06-16,group,I,France,Senegal,3,1,played,
18,2026-06-16,group,I,Iraq,Norway,1,4,played,
19,2026-06-16,group,J,Argentina,Algeria,3,0,played,
20,2026-06-16,group,J,Austria,Jordan,3,1,played,
21,2026-06-17,group,L,Ghana,Panama,1,0,played,
22,2026-06-17,group,L,England,Croatia,4,2,played,
23,2026-06-17,group,K,Portugal,DR Congo,1,1,played,
24,2026-06-17,group,K,Uzbekistan,Colombia,1,3,played,
25,2026-06-18,group,A,Czech Republic,South Africa,1,1,played,
26,2026-06-18,group,B,Switzerland,Bosnia & Herzegovina,4,1,played,
27,2026-06-18,group,B,Canada,Qatar,6,0,played,
28,2026-06-18,group,A,Mexico,South Korea,1,0,played,
29,2026-06-19,group,C,Brazil,Haiti,3,0,played,
30,2026-06-19,group,C,Scotland,Morocco,0,1,played,
31,2026-06-19,group,D,Turkey,Paraguay,0,1,played,
32,2026-06-19,group,D,USA,Australia,2,0,played,
33,2026-06-20,group,E,Germany,Ivory Coast,2,1,played,
34,2026-06-20,group,E,Ecuador,Curaçao,0,0,played,
35,2026-06-20,group,F,Netherlands,Sweden,5,1,played,
36,2026-06-20,group,F,Tunisia,Japan,0,4,played,
37,2026-06-21,group,H,Uruguay,Cape Verde,2,2,played,
38,2026-06-21,group,H,Spain,Saudi Arabia,4,0,played,
39,2026-06-21,group,G,Belgium,Iran,0,0,played,
40,2026-06-21,group,G,New Zealand,Egypt,1,3,played,
41,2026-06-22,group,I,Norway,Senegal,3,2,played,
42,2026-06-22,group,I,France,Iraq,3,0,played,
43,2026-06-22,group,J,Argentina,Austria,2,0,played,
44,2026-06-22,group,J,Jordan,Algeria,1,2,played,
45,2026-06-23,group,L,England,Ghana,0,0,played,
46,2026-06-23,group,L,Panama,Croatia,0,1,played,
47,2026-06-23,group,K,Portugal,Uzbekistan,5,0,played,
48,2026-06-23,group,K,Colombia,DR Congo,1,0,played,
49,2026-06-24,group,C,Scotland,Brazil,0,3,played,
50,2026-06-24,group,C,Morocco,Haiti,4,2,played,
51,2026-06-24,group,B,Switzerland,Canada,2,1,played,
52,2026-06-24,group,B,Bosnia & Herzegovina,Qatar,3,1,played,
53,2026-06-24,group,A,Czech Republic,Mexico,0,3,played,
54,2026-06-24,group,A,South Africa,South Korea,1,0,played,
55,2026-06-25,group,E,Curaçao,Ivory Coast,0,2,played,
56,2026-06-25,group,E,Ecuador,Germany,2,1,played,
57,2026-06-25,group,F,Japan,Sweden,1,1,played,
58,2026-06-25,group,F,Tunisia,Netherlands,1,3,played,
59,2026-06-25,group,D,Turkey,USA,3,2,played,
60,2026-06-25,group,D,Paraguay,Australia,0,0,played,
61,2026-06-26,group,I,Norway,France,1,4,played,
62,2026-06-26,group,I,Senegal,Iraq,5,0,played,
63,2026-06-26,group,G,Egypt,Iran,1,1,played,
64,2026-06-26,group,G,New Zealand,Belgium,1,5,played,
65,2026-06-26,group,H,Cape Verde,Saudi Arabia,0,0,played,
66,2026-06-26,group,H,Uruguay,Spain,0,1,played,
67,2026-06-27,group,L,Panama,England,0,2,played,
68,2026-06-27,group,L,Croatia,Ghana,2,1,played,
69,2026-06-27,group,J,Algeria,Austria,3,3,played,
70,2026-06-27,group,J,Jordan,Argentina,1,3,played,
71,2026-06-27,group,K,Colombia,Portugal,0,0,played,
72,2026-06-27,group,K,DR Congo,Uzbekistan,3,1,played,
73,2026-06-28,R32,,South Africa,Canada,0,1,played,Canada
74,2026-06-29,R32,,Germany,Paraguay,1,1,played,Paraguay
75,2026-06-29,R32,,Netherlands,Morocco,1,1,played,Morocco
76,2026-06-29,R32,,Brazil,Japan,2,1,played,Brazil
77,2026-06-30,R32,,France,Sweden,3,0,played,France
78,2026-06-30,R32,,Ivory Coast,Norway,1,2,played,Norway
79,2026-06-30,R32,,Mexico,Ecuador,2,0,played,Mexico
80,2026-07-01,R32,,England,DR Congo,2,1,played,England
81,2026-07-01,R32,,USA,Bosnia & Herzegovina,2,0,played,USA
82,2026-07-01,R32,,Belgium,Senegal,2,2,played,Belgium
83,2026-07-02,R32,,Portugal,Croatia,,,scheduled,
84,2026-07-02,R32,,Spain,Austria,,,scheduled,
85,2026-07-02,R32,,Switzerland,Algeria,,,scheduled,
86,2026-07-03,R32,,Argentina,Cape Verde,,,scheduled,
87,2026-07-03,R32,,Colombia,Ghana,,,scheduled,
