team,group,confederation,fifa_code,fifa_rank,fifa_points,squad_value_eur_m
Czech Republic,A,UEFA,CZE,40,1505.74,188.18
Mexico,A,CONCACAF,MEX,14,1687.48,191.85
South Africa,A,CAF,RSA,60,1428.38,49.25
South Korea,A,AFC,KOR,25,1591.63,139.05
Bosnia & Herzegovina,B,UEFA,BIH,64,1387.22,146.4
Canada,B,CONCACAF,CAN,30,1559.48,198.65
Qatar,B,AFC,QAT,56,1450.31,19.93
Switzerland,B,UEFA,SUI,19,1650.06,332.5
Brazil,C,CONMEBOL,BRA,6,1765.86,928.2
Haiti,C,CONCACAF,HAI,83,1293.1,55.9
Morocco,C,CAF,MAR,7,1755.1,447.7
Scotland,C,UEFA,SCO,42,1503.34,170.25
Australia,D,AFC,AUS,27,1579.34,77.45
Paraguay,D,CONMEBOL,PAR,41,1505.35,153.65
Turkey,D,UEFA,TUR,22,1605.73,473.7
USA,D,CONCACAF,USA,17,1671.23,385.6
Curaçao,E,CONCACAF,CUW,82,1294.77,25.78
Ecuador,E,CONMEBOL,ECU,23,1598.52,368.7
Germany,E,UEFA,GER,10,1735.77,947.0
Ivory Coast,E,CAF,CIV,33,1540.87,522.1
Japan,F,AFC,JPN,18,1661.58,270.85
Netherlands,F,UEFA,NED,8,1753.57,754.2
Sweden,F,UEFA,SWE,38,1509.79,406.08
Tunisia,F,CAF,TUN,45,1476.41,69.95
Belgium,G,UEFA,BEL,9,1742.24,547.5
Egypt,G,CAF,EGY,29,1562.37,116.48
Iran,G,AFC,IRN,20,1619.58,32.05
New Zealand,G,OFC,NZL,85,1275.58,34.45
Cape Verde,H,CAF,CPV,67,1371.11,49.25
Saudi Arabia,H,AFC,KSA,61,1423.88,40.68
Spain,H,UEFA,ESP,2,1874.71,1220.0
Uruguay,H,CONMEBOL,URU,16,1673.07,359.3
France,I,UEFA,FRA,3,1870.7,1520.0
Iraq,I,AFC,IRQ,57,1446.28,21.2
Norway,I,UEFA,NOR,31,1557.44,589.9
Senegal,I,CAF,SEN,15,1684.07,478.1
Algeria,J,CAF,ALG,28,1571.03,256.9
Argentina,J,CONMEBOL,ARG,1,1877.27,807.5
Austria,J,UEFA,AUT,24,1597.4,245.2
Jordan,J,AFC,JOR,63,1387.74,20.3
Colombia,K,CONMEBOL,COL,13,1698.35,302.35
DR Congo,K,CAF,COD,46,1474.43,143.9
Portugal,K,UEFA,POR,5,1767.85,1010.0
Uzbekistan,K,AFC,UZB,50,1458.73,85.33
Croatia,L,UEFA,CRO,11,1714.87,387.3
England,L,UEFA,ENG,4,1828.02,1360.0
Ghana,L,CAF,GHA,73,1346.88,234.5
Panama,L,CONCACAF,PAN,34,1539.16,34.55
