source,idx,topic,agent_html,human_url
economist,01,The space race is dominated by new contenders,economist/01_space-launches/blog_opus47_0503_0236/index.html,https://www.economist.com/graphic-detail/2018/10/18/the-space-race-is-dominated-by-new-contenders
economist,04,TV's golden age is real,economist/04_tv-ratings/blog_opus47_0503_0238/index.html,https://www.economist.com/graphic-detail/2018/11/24/tvs-golden-age-is-real
economist,06,Managers in football matter much less than most fans think,economist/06_football-managers/blog_opus47_0503_1137/index.html,https://www.economist.com/graphic-detail/2019/01/19/managers-in-football-matter-much-less-than-most-fans-think
economist,07,Israel's growing settlements force stark choices about its future,economist/07_holy-land/blog_opus47_0503_1155/index.html,https://www.economist.com/graphic-detail/2019/02/02/israels-growing-settlements-force-stark-choices-about-its-future
economist,09,The Oscars' influence has waned,economist/09_oscars-influence/blog_opus47_0503_1157/index.html,https://www.economist.com/graphic-detail/2019/03/02/the-oscars-influence-has-waned
economist,13,Tourism flows and death rates suggest covid-19 is being under-reported,economist/13_covid19/blog_opus47_0503_1207/index.html,https://www.economist.com/graphic-detail/2020/03/07/tourism-flows-and-death-rates-suggest-covid-19-is-being-under-reported
pudding,02,The Structure of Stand-Up Comedy,pudding/02_stand-up/blog_opus47_0503_0049/index.html,https://pudding.cool/2018/02/stand-up
pudding,06,Vocal Register in Pop Music,pudding/06_register/blog_opus47_0503_0049/index.html,https://pudding.cool/2019/08/register/
pudding,09,They Won't Play a Lady-O on Country Radio,pudding/09_country-radio/blog_opus47_0503_0049/index.html,https://pudding.cool/2023/05/country-radio/
pudding,12,The Eras of Boy Bands,pudding/12_boybands/blog_opus47_0503_0109/index.html,https://pudding.cool/2018/11/boy-bands/
pudding,13,How Far Is Too Far for an Abortion Clinic,pudding/13_clinics/blog_opus47_0503_0115/index.html,https://pudding.cool/2017/09/clinics/
pudding,15,Baking the Most Average Chocolate Chip Cookie,pudding/15_cookies/blog_opus47_0503_0134/index.html,https://pudding.cool/2018/05/cookies
tidytuesday,03,Moore's Law,tidytuesday/03_moores-law/blog_opus47_0503_1218/index.html,https://ourworldindata.org/technological-progress
tidytuesday,05,Australia Fires,tidytuesday/05_australia-fires/blog_opus47_0503_1307/index.html,https://www.nytimes.com/interactive/2020/01/02/climate/australia-fires-map.html
tidytuesday,11,Taylor Swift and Beyoncé Lyric Analysis,tidytuesday/11_taylor-swift-beyonce/blog_opus47_0503_1329/index.html,https://rpubs.com/RosieB/taylorswiftlyricanalysis
tidytuesday,12,Super Bowl Ads,tidytuesday/12_superbowl-ads/blog_opus47_0503_1348/index.html,https://projects.fivethirtyeight.com/super-bowl-ads/
tidytuesday,14,Eurovision Contest,tidytuesday/14_eurovision/blog_opus47_0503_1352/index.html,https://github.com/tashapiro/eurovision-contest
tidytuesday,15,Sechseläuten Snowman Forecast,tidytuesday/15_sechselauten-snowman/blog_opus47_0503_1411/index.html,https://www.meteoswiss.admin.ch/weather/weather-and-climate-from-a-to-z/boeoegg-prediction.html
