decade,RestOfWorld,Antarctica,Total
860,1,0,1
920,1,0,1
1390,1,0,1
1490,3,0,3
1510,1,0,1
1570,1,0,1
1580,1,0,1
1600,1,0,1
1620,3,0,3
1630,3,0,3
1640,1,0,1
1650,1,0,1
1660,2,0,2
1670,1,0,1
1680,1,0,1
1700,1,0,1
1710,2,0,2
1720,2,0,2
1740,3,0,3
1750,4,0,4
1760,4,0,4
1770,5,0,5
1780,5,0,5
1790,12,0,12
1800,21,0,21
1810,30,0,30
1820,29,0,29
1830,33,0,33
1840,49,0,49
1850,71,0,71
1860,95,0,95
1870,88,0,88
1880,122,0,122
1890,125,0,125
1900,136,0,136
1910,152,1,153
1920,158,0,158
1930,304,0,304
1940,192,0,192
1950,208,0,208
1960,373,12,385
1970,564,4398,4962
1980,442,6364,6806
1990,4002,6772,10774
2000,6999,4459,11458
2010,1870,93,1963
