decade,Fell,Found,Total
860,1,0,1
920,1,0,1
1390,1,0,1
1490,3,0,3
1510,1,0,1
1570,0,1,1
1580,1,0,1
1600,0,1,1
1620,3,0,3
1630,3,0,3
1640,1,0,1
1650,1,0,1
1660,2,0,2
1670,1,0,1
1680,1,0,1
1700,1,0,1
1710,1,1,2
1720,1,1,2
1740,2,1,3
1750,4,0,4
1760,4,0,4
1770,4,1,5
1780,2,3,5
1790,9,3,12
1800,17,5,22
1810,24,6,30
1820,25,5,30
1830,21,12,33
1840,31,18,49
1850,36,35,71
1860,56,39,95
1870,51,38,89
1880,40,83,123
1890,51,75,126
1900,56,83,139
1910,66,88,154
1920,70,89,159
1930,91,218,309
1940,58,138,196
1950,60,152,212
1960,62,335,397
1970,60,4909,4969
1980,56,6766,6822
1990,56,11563,11619
2000,59,17698,17757
2010,13,1950,1963
