name,reclat,reclong,mass (g),year,family
Aachen,50.775,6.08333,21.0,1880.0,Chondrite — Ordinary
Aarhus,56.18333,10.23333,720.0,1951.0,Chondrite — Ordinary
Abee,54.21667,-113.0,107000.0,1952.0,Chondrite — Enstatite
Acapulco,16.88333,-99.9,1914.0,1976.0,Achondrite — Primitive/Other
Achiras,-33.16667,-64.95,780.0,1902.0,Chondrite — Ordinary
Adhi Kot,32.1,71.8,4239.0,1919.0,Chondrite — Enstatite
Adzhi-Bogdo (stone),44.83333,95.16667,910.0,1949.0,Chondrite — Ordinary
Agen,44.21667,0.61667,30000.0,1814.0,Chondrite — Ordinary
Aguada,-31.6,-65.23333,1620.0,1930.0,Chondrite — Ordinary
Aguila Blanca,-30.86667,-64.55,1440.0,1920.0,Chondrite — Ordinary
Aioun el Atrouss,16.39806,-9.57028,1000.0,1974.0,Achondrite — HED
Aïr,19.08333,8.38333,24000.0,1925.0,Chondrite — Ordinary
Aire-sur-la-Lys,50.66667,2.33333,,1769.0,Unknown
Akaba,29.51667,35.05,779.0,1949.0,Chondrite — Ordinary
Akbarpur,29.71667,77.95,1800.0,1838.0,Chondrite — Ordinary
Akwanga,8.91667,8.43333,3000.0,1959.0,Chondrite — Ordinary
Akyumak,39.91667,42.81667,50000.0,1981.0,Iron meteorite
Al Rais,24.41667,39.51667,160.0,1957.0,Chondrite — Carbonaceous
Al Zarnkh,13.66033,28.96,700.0,2001.0,Chondrite — Ordinary
Alais,44.11667,4.08333,6000.0,1806.0,Chondrite — Carbonaceous
Albareto,44.65,11.01667,2000.0,1766.0,Chondrite — Ordinary
Alberta,2.0,22.66667,625.0,1949.0,Chondrite — Ordinary
Alby sur Chéran,45.82133,6.01533,252.0,2002.0,Achondrite — HED
Aldsworth,51.78333,-1.78333,700.0,1835.0,Chondrite — Ordinary
Aleppo,36.23333,37.13333,3200.0,1873.0,Chondrite — Ordinary
Alessandria,44.88333,8.75,908.0,1860.0,Chondrite — Ordinary
Alexandrovsky,50.95,31.81667,9251.0,1900.0,Chondrite — Ordinary
Alfianello,45.26667,10.15,228000.0,1883.0,Chondrite — Ordinary
Allegan,42.53333,-85.88333,32000.0,1899.0,Chondrite — Ordinary
Allende,26.96667,-105.31667,2000000.0,1969.0,Chondrite — Carbonaceous
Almahata Sitta,20.74575,32.41275,3950.0,2008.0,Achondrite — Primitive/Other
Alta'ameem,35.27333,44.21556,6000.0,1977.0,Chondrite — Ordinary
Ambapur Nagla,27.66667,78.25,6400.0,1895.0,Chondrite — Ordinary
Andhara,26.58333,85.56667,2700.0,1880.0,Other / Ungrouped
Andover,44.61667,-70.75,3200.0,1898.0,Chondrite — Ordinary
Andreevka,48.7,37.5,600.0,1969.0,Chondrite — Ordinary
Andura,20.88333,76.86667,17900.0,1939.0,Chondrite — Ordinary
Angers,47.46667,-0.55,,1822.0,Chondrite — Ordinary
Angra dos Reis (stone),-22.96667,-44.31667,1500.0,1869.0,Achondrite — Primitive/Other
Ankober,9.53333,39.71667,6500.0,1942.0,Chondrite — Ordinary
Anlong,25.15,105.18333,2500.0,1971.0,Chondrite — Ordinary
Aomori,40.81056,140.78556,320.0,1984.0,Chondrite — Ordinary
Appley Bridge,53.58333,-2.71667,15000.0,1914.0,Chondrite — Ordinary
Apt,43.86667,5.38333,3200.0,1803.0,Chondrite — Ordinary
Arbol Solo,-33.0,-66.0,810.0,1954.0,Chondrite — Ordinary
Archie,38.5,-94.3,5070.0,1932.0,Chondrite — Ordinary
Arroyo Aguiar,-31.41667,-60.66667,7450.0,1950.0,Chondrite — Ordinary
Asco,42.45,9.03333,41.0,1805.0,Chondrite — Ordinary
Ash Creek,31.805,-97.01,9500.0,2009.0,Chondrite — Ordinary
Ashdon,52.05,0.3,1300.0,1923.0,Chondrite — Ordinary
Assisi,43.03333,12.55,2000.0,1886.0,Chondrite — Ordinary
Atarra,25.25417,80.625,1280.0,1920.0,Chondrite — Ordinary
Atemajac,20.06667,-103.66667,94.2,1896.0,Chondrite — Ordinary
Athens,34.75,-87.0,265.0,1933.0,Chondrite — Ordinary
Atoka,34.31667,-96.15,1384.2,1945.0,Chondrite — Ordinary
Aubres,44.38333,5.16667,800.0,1836.0,Achondrite — Primitive/Other
Aumale,36.16667,3.66667,50000.0,1865.0,Chondrite — Ordinary
Aumieres,44.33333,3.23333,2000.0,1842.0,Chondrite — Ordinary
Ausson,43.08333,0.58333,50000.0,1858.0,Chondrite — Ordinary
Avanhandava,-21.46028,-49.95083,9330.0,1952.0,Chondrite — Ordinary
Avce,46.0,13.5,1230.0,1908.0,Iron meteorite
Avilez,25.0,-103.5,146.0,1855.0,Chondrite — Ordinary
Awere,2.71667,32.83333,134.0,1968.0,Chondrite — Ordinary
Aztec,36.8,-108.0,2830.0,1938.0,Chondrite — Ordinary
Bachmut,48.6,38.0,18000.0,1814.0,Chondrite — Ordinary
Bahjoi,28.48333,78.5,10322.0,1934.0,Iron meteorite
Bald Mountain,35.96667,-82.48333,3700.0,1929.0,Chondrite — Ordinary
Baldwyn,34.5,-88.66667,345.0,1922.0,Chondrite — Ordinary
Bali,5.38333,16.38333,1000.0,1907.0,Chondrite — Carbonaceous
Ban Rong Du,16.66667,101.18333,16700.0,1993.0,Iron meteorite
Bandong,-6.91667,107.6,11500.0,1871.0,Chondrite — Ordinary
Bansur,27.7,76.33333,15000.0,1892.0,Chondrite — Ordinary
Banswal,30.4,78.2,14.0,1913.0,Chondrite — Ordinary
Banten,-6.33333,106.0,629.0,1933.0,Chondrite — Carbonaceous
Barbotan,43.95,-0.05,6400.0,1790.0,Chondrite — Ordinary
Barcelona (stone),41.36667,2.16667,,1704.0,Other / Ungrouped
Barea,42.38333,-2.5,3200.0,1842.0,Stony-iron
Barnaul,52.73333,84.08333,23.2,1904.0,Chondrite — Ordinary
Barntrup,52.0,9.1,17.0,1886.0,Chondrite — Ordinary
Baroti,31.61667,76.8,4500.0,1910.0,Chondrite — Ordinary
Barwell,52.56528,-1.33972,44000.0,1965.0,Chondrite — Ordinary
Bassikounou,15.78333,-5.9,29560.0,2006.0,Chondrite — Ordinary
Baszkówka,52.03333,20.93583,15500.0,1994.0,Chondrite — Ordinary
Bath,45.41667,-98.31667,21000.0,1892.0,Chondrite — Ordinary
Bath Furnace,38.25,-83.75,86000.0,1902.0,Chondrite — Ordinary
Battle Mountain,40.66813,-117.18913,2900.0,2012.0,Chondrite — Ordinary
Bawku,11.08333,-0.18333,1557.0,1989.0,Chondrite — Ordinary
Baxter,36.75,-93.5,611.0,1916.0,Chondrite — Ordinary
Beardsley,39.8,-101.2,16000.0,1929.0,Chondrite — Ordinary
Beaver Creek,51.16667,-117.33333,14000.0,1893.0,Chondrite — Ordinary
Beddgelert,53.01667,-4.1,794.0,1949.0,Chondrite — Ordinary
Bells,33.6,-96.46667,375.0,1961.0,Chondrite — Carbonaceous
Belville,-32.33333,-64.86667,,1937.0,Other / Ungrouped
Benares (a),25.36667,82.91667,3700.0,1798.0,Chondrite — Ordinary
Benguerir,32.25,-8.15,25000.0,2004.0,Chondrite — Ordinary
Beni M'hira,32.86667,10.8,19000.0,2001.0,Chondrite — Ordinary
Benld,39.08333,-89.15,1770.5,1938.0,Chondrite — Ordinary
Benoni,-26.16667,28.41667,3880.0,1943.0,Chondrite — Ordinary
Bensour,30.0,-7.0,45000.0,2002.0,Chondrite — Ordinary
Benton,45.95,-67.55,2840.0,1949.0,Chondrite — Ordinary
Berduc,-31.91,-58.32833,270.0,2008.0,Chondrite — Ordinary
Béréba,11.65,-3.65,18000.0,1924.0,Achondrite — HED
Berlanguillas,41.68333,-3.8,1440.0,1811.0,Chondrite — Ordinary
Berthoud,40.30583,-105.02325,960.0,2004.0,Achondrite — HED
Bethlehem,42.53333,-73.83333,13.9,1859.0,Chondrite — Ordinary
Beuste,43.21667,-0.23333,2000.0,1859.0,Chondrite — Ordinary
Beyrout,33.88333,35.5,1100.0,1921.0,Chondrite — Ordinary
Bhagur,20.88333,74.83333,18.0,1877.0,Chondrite — Ordinary
Bhawad,26.50833,73.11528,678.0,2002.0,Chondrite — Ordinary
Bherai,20.83333,71.46667,100.0,1893.0,Chondrite — Ordinary
Bhola,22.68333,90.65,1047.0,1940.0,Chondrite — Ordinary
Bholghati,22.08333,86.9,2500.0,1905.0,Achondrite — HED
Bialystok,53.1,23.2,4000.0,1827.0,Achondrite — HED
Bielokrynitschie,50.13333,27.16667,1900.0,1887.0,Chondrite — Ordinary
Bilanga,12.45,-0.08333,25000.0,1999.0,Achondrite — HED
Binningup,-33.15639,115.67639,488.1,1984.0,Chondrite — Ordinary
Birni N'konni,13.76667,5.3,560.0,1923.0,Chondrite — Ordinary
Bishopville,34.16667,-80.28333,6000.0,1843.0,Achondrite — Primitive/Other
Bishunpur,25.38333,82.6,1039.0,1895.0,Chondrite — Ordinary
Bjelaja Zerkov,49.78333,30.16667,1850.0,1796.0,Chondrite — Ordinary
Bjurböle,60.4,25.8,330000.0,1899.0,Chondrite — Ordinary
Black Moshannan Park,40.91667,-78.08333,705.0,1941.0,Chondrite — Ordinary
Blackwell,36.83333,-97.33333,2381.0,1906.0,Chondrite — Ordinary
Blanket,31.83333,-98.83333,5100.0,1909.0,Chondrite — Ordinary
Blansko,49.36667,16.63333,470.0,1833.0,Chondrite — Ordinary
Bloomington,40.48,-89.00417,67.8,1938.0,Chondrite — Ordinary
Bo Xian,33.83333,115.83333,7500.0,1977.0,Chondrite — Ordinary
Bocas,23.0,-102.0,56.0,1804.0,Chondrite — Ordinary
Bogou,12.5,0.7,8800.0,1962.0,Iron meteorite
Boguslavka,44.55,131.63333,256000.0,1916.0,Iron meteorite
Borgo San Donino,44.86667,10.05,1676.0,1808.0,Chondrite — Ordinary
Bori,21.95,78.03333,8600.0,1894.0,Chondrite — Ordinary
Boriskino,54.23333,52.48333,1342.0,1930.0,Chondrite — Carbonaceous
Borkut,48.15,24.28333,7000.0,1852.0,Chondrite — Ordinary
Borodino,55.46667,35.86667,500.0,1812.0,Chondrite — Ordinary
Botschetschki,51.33333,33.88333,614.0,1823.0,Chondrite — Ordinary
Boumdeid (2003),17.71067,-11.3715,190.0,2003.0,Chondrite — Ordinary
Boumdeid (2011),17.17493,-11.34133,3599.0,2011.0,Chondrite — Ordinary
Bovedy,54.56667,-6.33333,5460.0,1969.0,Chondrite — Ordinary
Bradford Woods,40.5,-80.08333,762.0,1886.0,Chondrite — Ordinary
Braunau,50.6,16.3,39000.0,1847.0,Iron meteorite
Breitscheid,50.66694,8.18361,1500.0,1956.0,Chondrite — Ordinary
Bremervörde,53.4,9.1,7250.0,1855.0,Chondrite — Ordinary
Brient,52.13333,59.31667,219.0,1933.0,Achondrite — HED
Bruderheim,53.9,-112.88333,303000.0,1960.0,Chondrite — Ordinary
Bukhara,39.77978,64.60035,5300.0,2001.0,Chondrite — Carbonaceous
Bunburra Rockhole,-31.35,129.19,324.0,2007.0,Achondrite — HED
Bununu,10.01667,9.58333,357.0,1942.0,Achondrite — HED
Bur-Gheluai,5.0,48.0,120000.0,1919.0,Chondrite — Ordinary
Burnwell,37.62194,-82.23722,1504.0,1990.0,Chondrite — Ordinary
Bursa,40.2,29.23333,25000.0,1946.0,Chondrite — Ordinary
Buschhof,46.45,25.78333,5000.0,1863.0,Chondrite — Ordinary
Bustee,26.78333,82.83333,1500.0,1852.0,Achondrite — Primitive/Other
Butsura,27.08333,84.08333,29000.0,1861.0,Chondrite — Ordinary
