name,reclat,reclong,mass (g),year,family
Northwest Africa 5702,0.0,0.0,380.0,2008.0,Chondrite — Ordinary
Lewis Cliff 88548,-84.25006,161.39479,13.8,1988.0,Chondrite — Ordinary
Pecora Escarpment 91460,-85.68203,-68.17912,10.7,1991.0,Chondrite — Ordinary
Dar al Gani 795,26.98717,16.43733,27.8,2000.0,Chondrite — Ordinary
Grove Mountains 022459,-72.77389,75.32694,1.1,2003.0,Chondrite — Carbonaceous
Dhofar 541,18.33433,54.18067,1233.3,2000.0,Chondrite — Ordinary
Elephant Moraine 96194,-76.18333,157.16667,1.1,1996.0,Chondrite — Ordinary
Yamato 793259,-71.5,35.66667,8.01,1979.0,Chondrite — Ordinary
Northwest Africa 7079,0.0,0.0,134.0,2011.0,Chondrite — Ordinary
Yamato 983235,0.0,0.0,3.5,1998.0,Chondrite — Rumuruti (R)
Elephant Moraine 90692,-76.26696,156.4529,13.6,1990.0,Chondrite — Ordinary
Queen Alexandra Range 97196,-84.0,168.0,4.0,1997.0,Chondrite — Ordinary
Dar al Gani 991,27.33067,16.2805,236.0,2002.0,Chondrite — Ordinary
Mundrabilla 008,-30.8,127.61667,57.1,1982.0,Chondrite — Ordinary
Elephant Moraine 87691,-76.28074,156.44104,39.2,1987.0,Chondrite — Ordinary
Yamato 983182,0.0,0.0,20.72,1998.0,Chondrite — Ordinary
Hammadah al Hamra 276,28.4415,12.88467,246.0,2000.0,Chondrite — Ordinary
Kivesvaara,64.45,27.56667,164.0,1968.0,Chondrite — Carbonaceous
Acfer 237,27.49167,3.83278,673.0,1991.0,Chondrite — Ordinary
Dhofar 1043,18.91903,54.71077,205.0,2000.0,Chondrite — Ordinary
Grove Mountains 050031,-73.103889,75.17,31.59,2006.0,Chondrite — Ordinary
Pecora Escarpment 91113,-85.63333,-68.7,22.2,1991.0,Chondrite — Ordinary
Dar al Gani 505,27.27183,16.0535,240.0,1997.0,Chondrite — Ordinary
Grove Mountains 052725,-72.784722,75.289167,2.25,2006.0,Chondrite — Ordinary
Lewis Cliff 85460,-84.26992,161.41717,5.5,1985.0,Chondrite — Ordinary
Yamato 793555,-71.5,35.66667,2.62,1979.0,Chondrite — Ordinary
Allan Hills A78255,-76.71667,159.66667,3.2,1978.0,Chondrite — Ordinary
Sleeper Camp 021,-30.11833,126.24767,25.6,1993.0,Chondrite — Ordinary
Asuka 87281,-72.0,26.0,34.68,1987.0,Chondrite — Ordinary
Acfer 394,27.51867,3.88033,364.0,2001.0,Chondrite — Carbonaceous
Yamato 86563,-71.5,35.66667,1.21,1986.0,Chondrite — Ordinary
Rolla (d),37.08333,-101.6,50.0,1942.0,Chondrite — Ordinary
Meteorite Hills 01178,-79.68333,159.75,11.9,2001.0,Chondrite — Ordinary
Dimitrovgrad,43.04639,22.86389,100000.0,1949.0,Iron meteorite
Frontier Mountain 97036,-72.98944,160.4125,1.0,1997.0,Chondrite — Ordinary
Meteorite Hills 00755,-79.68333,155.75,4.09,2000.0,Chondrite — Ordinary
Meteorite Hills 01060,-79.68333,159.75,351.4,2001.0,Chondrite — Ordinary
Graves Nunataks 98050,-86.71667,-141.5,337.4,1998.0,Chondrite — Ordinary
Yamato 793226,-71.5,35.66667,19.6,1979.0,Chondrite — Ordinary
Yamato 791527,-71.5,35.66667,4.14,1979.0,Chondrite — Ordinary
Pecora Escarpment 91140,-85.67698,-69.0521,20.3,1991.0,Chondrite — Ordinary
Yamato 981455,0.0,0.0,7.25,1998.0,Chondrite — Ordinary
Yamato 74248,-71.5,35.66667,7.82,1974.0,Chondrite — Ordinary
Asuka 881479,-72.0,26.0,108.39,1988.0,Chondrite — Ordinary
Grove Mountains 021643,-72.77278,75.34556,12.81,2003.0,Chondrite — Ordinary
Queen Alexandra Range 94499,-84.0,168.0,1.4,1994.0,Chondrite — Ordinary
Grove Mountains 020036,-73.09889,75.175,1.1,2002.0,Chondrite — Ordinary
Yamato 790857,-71.5,35.66667,4.83,1979.0,Chondrite — Ordinary
Grove Mountains 020143,-72.97694,75.25694,2.28,2003.0,Chondrite — Ordinary
Buffalo Gap,32.24611,-99.99306,9300.0,2003.0,Iron meteorite
Yamato 74355,-71.75694,35.78056,82.9,1974.0,Chondrite — Ordinary
Yamato 82145,-71.5,35.66667,26.45,1982.0,Chondrite — Ordinary
Yamato 981266,0.0,0.0,11.8,1998.0,Chondrite — Carbonaceous
