ev_id,ntsb_no,ev_type,ev_date,ev_year,ev_month,ev_time,ev_tmzn,ev_city,ev_state,ev_country,dec_latitude,dec_longitude,apt_name,apt_dist,light_cond,sky_cond_ceil,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,gust_kts,wx_cond_basic,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,inj_tot_t,mid_air,on_ground_collision,Aircraft_Key,regis_no,far_part,flt_plan_filed,damage,acft_fire,acft_make,acft_model,acft_series,acft_category,homebuilt,num_eng,acft_year,cert_max_gr_wt,total_seats,type_fly,second_pilot,dprt_apt_id,dprt_city,dprt_state,dest_apt_id,dest_city,dest_state,phase_flt_spec,evacuation,air_medical,med_type_flight,site_seeing,fuel_on_board,unmanned,fatal,destroyed,is_homebuilt
20100104X13404,ERA10LA104,ACC,2010-01-01,2010,1,1608,UTC,Doylestown,PA,USA,40.333057,-75.122222,Doylestown Airport,0.0,DAYL,OVC,4.0,36,290,6,0,VMC,NONE,0,0,0,2,2.0,,,1,N4026J,091,NONE,SUBS,GRD,CESSNA,150G,,AIR,N,1.0,,1600,2,PERS,N,DYL ,Doylestown,PA,DYL ,Doylestown,PA,,,N,,N,,False,False,False,False
20100105X60423,CEN10CA087,ACC,2010-01-02,2010,1,130,UTC,Pearsall,TX,USA,28.864721,-99.123054,,0.0,NITE,NONE,10.0,48,0,,0,VMC,NONE,0,0,0,3,3.0,,,1,N2028U,091,NONE,SUBS,NONE,MAULE,M-4-220C,,AIR,N,1.0,,2300,4,PERS,N,AUS ,Austin,TX,20R ,Crystal City,TX,,,N,,N,,False,False,False,False
20100104X03848,WPR10CA095,ACC,2010-01-03,2010,1,1915,UTC,Fallbrook,CA,USA,33.354167,-117.250831,Fallbrook Community Airpark,0.0,DAYL,NONE,10.0,77,40,7,0,VMC,NONE,0,0,0,1,1.0,,,1,N7417N,091,NONE,SUBS,NONE,CESSNA,182P,,AIR,N,1.0,,3150,4,PERS,N,CRQ ,Carlsbad,CA,L18 ,Fallbrook,CA,,,N,,N,,False,False,False,False
20100104X51148,ERA10LA105,ACC,2010-01-04,2010,1,1554,UTC,Greenbush,ME,USA,45.126388,-68.629165,Dewitt Field,8.0,DAYL,OVC,10.0,37,310,8,17,VMC,FATL,1,0,0,0,1.0,,,1,N5118J,091,IFR,SUBS,NONE,CESSNA,172S,,AIR,N,1.0,,2550,4,FERY,N,KBGR,Bangor,ME,CYYR,Goose Bay,,,,N,,N,,False,True,False,False
20100107X52853,CEN10CA092,ACC,2010-01-05,2010,1,2320,UTC,Brownstown,IL,USA,38.995555,-88.952774,,0.0,DUSK,NONE,10.0,19,300,7,0,VMC,MINR,0,0,1,0,1.0,,,1,N10401,091,NONE,SUBS,NONE,CESSNA,150L,,AIR,N,1.0,,1600,2,INST,N,DEC ,Decatur,IL,3LF ,Litchfield,IL,,,N,,N,,False,False,False,False
20100105X11839,CEN10MA088,ACC,2010-01-05,2010,1,1927,UTC,Prospect Heights,IL,USA,42.08889,-87.89167,,2.0,DAYL,NONE,10.0,21,330,9,0,VMC,FATL,2,0,0,0,2.0,,,1,N720RA,091,IFR,SUBS,NONE,GATES LEARJET CORP.,35A,,AIR,N,2.0,,18300,10,POSI,Y,PTK ,Pontiac,MI,,Prospect Heights,IL,,,N,,N,,False,True,False,False
20100107X32004,CEN10CA091,ACC,2010-01-05,2010,1,2030,UTC,Santa Fe,NM,USA,35.616943,-106.089447,Santa Fe Municipal,1.0,DAYL,NONE,10.0,68,0,,0,VMC,MINR,0,0,1,0,1.0,,,1,N28446,091,NONE,SUBS,NONE,GRUMMAN AMERICAN,AA-5B,,AIR,N,1.0,,2400,4,PERS,N,SAF ,Santa Fe,NM,SAF ,Santa Fe,NM,,,N,,N,,False,False,False,False
20100106X01145,WPR10CA098,ACC,2010-01-06,2010,1,2325,UTC,Ramona,CA,USA,33.039165,-116.915,Ramona Airport,0.0,DAYL,NONE,10.0,0,300,9,0,VMC,MINR,0,0,1,0,1.0,,,1,N35414,091,NONE,SUBS,NONE,CESSNA,172R,,AIR,N,1.0,,,4,INST,N,KCRQ,Carlsbad,CA,RNM ,Ramona,CA,,,N,,N,,False,False,False,False
20100106X11011,WPR10CA099,ACC,2010-01-06,2010,1,2330,UTC,Metaline Falls,WA,USA,48.840831,-117.283889,Sullivan Lake State Airport,0.0,DAYL,NONE,100.0,30,0,,0,VMC,NONE,0,0,0,4,4.0,,,1,N48ZZ,091,UNK,SUBS,NONE,CESSNA,182J,,AIR,N,1.0,,,4,PERS,N,,Ione,WA,09S ,Metaline Falls,WA,,,N,,N,,False,False,False,False
20100106X13418,ERA10CA109,ACC,2010-01-06,2010,1,2330,UTC,Grantsville,MD,USA,39.685001,-79.186111,,0.0,NITE,OVC,2.0,18,270,9,16,IMC,SERS,0,1,0,0,1.0,,,1,N3275M,091,NONE,SUBS,NONE,SCHWEIZER,269C-1,,HELI,N,1.0,,1750,2,POSI,N,OMH ,Orange,VA,FWQ ,Monogahela,PA,,,N,,N,,False,False,False,False
