ev_state,events,fatal_events,deaths,events_share_pct,fatal_share_pct
CA,1575,322,524,9.0,20.4
TX,1513,259,439,8.6,17.1
FL,1385,245,396,7.9,17.7
AK,1016,98,174,5.8,9.6
AZ,696,108,192,4.0,15.5
CO,561,101,172,3.2,18.0
WA,550,79,109,3.1,14.4
GA,496,120,196,2.8,24.2
NC,434,71,114,2.5,16.4
ID,419,55,92,2.4,13.1
NY,403,82,139,2.3,20.3
OR,400,71,109,2.3,17.8
OH,376,68,110,2.1,18.1
PA,373,52,80,2.1,13.9
UT,372,71,134,2.1,19.1
MI,363,68,106,2.1,18.7
WI,341,55,92,1.9,16.1
VA,332,59,93,1.9,17.8
IL,328,53,85,1.9,16.2
NV,318,46,79,1.8,14.5
TN,316,63,102,1.8,19.9
MO,306,51,81,1.7,16.7
NM,291,54,98,1.7,18.6
MN,290,44,70,1.7,15.2
IN,281,55,82,1.6,19.6
OK,244,50,86,1.4,20.5
SC,240,42,64,1.4,17.5
AL,236,48,84,1.3,20.3
MT,234,42,66,1.3,17.9
LA,224,50,84,1.3,22.3
KS,223,34,52,1.3,15.2
AR,215,48,84,1.2,22.3
NJ,203,34,51,1.2,16.7
MD,188,19,28,1.1,10.1
IA,165,33,47,0.9,20.0
WY,162,30,61,0.9,18.5
KY,153,25,39,0.9,16.3
MA,146,29,45,0.8,19.9
MS,129,27,49,0.7,20.9
NE,123,35,52,0.7,28.5
CT,103,18,31,0.6,17.5
ME,102,16,23,0.6,15.7
HI,93,20,55,0.5,21.5
SD,91,24,42,0.5,26.4
NH,82,10,13,0.5,12.2
WV,78,13,27,0.4,16.7
ND,77,11,15,0.4,14.3
VT,49,6,11,0.3,12.2
PR,48,13,18,0.3,27.1
RI,23,0,0,0.1,0.0
DE,18,4,5,0.1,22.2
AO,15,10,16,0.1,66.7
OF,15,5,9,0.1,33.3
PO,9,4,4,0.1,44.4
GM,4,2,2,0.0,50.0
CB,2,2,6,0.0,100.0
